data,moeda,close,media_movel_200,multiplo_de_mayer
2023-11-10,BTC/USDT,37301.63,28604.5019,1.3040475282668704
2023-11-11,BTC/USDT,37130.0,28648.64795,1.2960472014177549
2023-11-12,BTC/USDT,37064.13,28691.89215,1.2917980384922085
2023-11-13,BTC/USDT,36462.93,28726.842950000006,1.2692981983249918
2023-11-14,BTC/USDT,35551.19,28758.0404,1.2362174023512396
2023-11-15,BTC/USDT,37858.2,28801.17915,1.3144670154937041
2023-11-16,BTC/USDT,36163.51,28835.83065,1.2541171585775006
2023-11-17,BTC/USDT,36613.92,28878.55895,1.2678582772565943
2023-11-18,BTC/USDT,36568.1,28918.050150000003,1.2645423813264947
2023-11-19,BTC/USDT,37359.86,28959.71865,1.2900629474865428
2023-11-20,BTC/USDT,37448.78,29002.77175,1.2912138302781353
2023-11-21,BTC/USDT,35741.65,29033.951950000002,1.2310294534327078
2023-11-22,BTC/USDT,37408.34,29076.752650000002,1.2865377523511035
2023-11-23,BTC/USDT,37294.28,29121.07355,1.280662951383535
2023-11-24,BTC/USDT,37713.57,29171.297450000002,1.2928314232385985
2023-11-25,BTC/USDT,37780.67,29222.059449999997,1.2928818403317568
2023-11-26,BTC/USDT,37447.43,29271.30285,1.279322283394707
2023-11-27,BTC/USDT,37242.7,29322.673249999996,1.2700990691563225
2023-11-28,BTC/USDT,37818.87,29377.79255,1.2873285130471794
2023-11-29,BTC/USDT,37854.64,29433.18935,1.286120900791881
2023-11-30,BTC/USDT,37723.96,29487.22105,1.2793324924052143
2023-12-01,BTC/USDT,38682.52,29544.822949999998,1.3092825117098899
2023-12-02,BTC/USDT,39450.35,29606.905499999997,1.3324712371578313
2023-12-03,BTC/USDT,39972.26,29669.73875,1.3472400393144681
2023-12-04,BTC/USDT,41991.1,29745.58785,1.4116749082839188
2023-12-05,BTC/USDT,44073.32,29831.55315,1.4774061470547335
2023-12-06,BTC/USDT,43762.69,29914.85445,1.4629083378341492
2023-12-07,BTC/USDT,43273.14,29997.48125,1.4425591148590182
2023-12-08,BTC/USDT,44170.99,30084.08985,1.4682508335880402
2023-12-09,BTC/USDT,43713.6,30166.5598,1.449074746667003
2023-12-10,BTC/USDT,43789.51,30253.8623,1.4474023040687933
2023-12-11,BTC/USDT,41253.4,30327.76035,1.3602521097473654
2023-12-12,BTC/USDT,41492.39,30401.6927,1.364805256386267
2023-12-13,BTC/USDT,42869.03,30481.766499999998,1.4063827304759389
2023-12-14,BTC/USDT,43022.26,30556.552799999998,1.4079552847990107
2023-12-15,BTC/USDT,41940.3,30627.5723,1.3693641660263096
2023-12-16,BTC/USDT,42278.03,30700.490449999998,1.3771125275296703
2023-12-17,BTC/USDT,41374.65,30771.311950000003,1.3445851794434134
2023-12-18,BTC/USDT,42657.8,30850.5113,1.3827258674964005
2023-12-19,BTC/USDT,42275.99,30925.6783,1.3670190056914613
2023-12-20,BTC/USDT,43668.93,31008.67685,1.4082809857138423
2023-12-21,BTC/USDT,43861.8,31092.4098,1.4106915572687455
2023-12-22,BTC/USDT,43969.04,31183.613999999998,1.410004626147566
2023-12-23,BTC/USDT,43702.16,31265.9744,1.3977546146778654
2023-12-24,BTC/USDT,42991.5,31349.2352,1.3713731682998123
2023-12-25,BTC/USDT,43576.13,31434.622799999997,1.3862463143664634
2023-12-26,BTC/USDT,42508.93,31514.7784,1.348857017506428
2023-12-27,BTC/USDT,43428.85,31602.7166,1.3742125574103334
2023-12-28,BTC/USDT,42563.76,31685.90765,1.3433025327901567
2023-12-29,BTC/USDT,42066.95,31766.71645,1.3242460883929348
2023-12-30,BTC/USDT,42140.28,31847.7466,1.3231793297425947
2023-12-31,BTC/USDT,42283.58,31933.5215,1.3241126569770891
2024-01-01,BTC/USDT,44179.55,32026.4268,1.3794717180250655
2024-01-02,BTC/USDT,44946.91,32119.436349999996,1.399367956218821
2024-01-03,BTC/USDT,42845.23,32201.077549999998,1.3305526789739373
2024-01-04,BTC/USDT,44151.1,32290.133199999997,1.3673248024879625
2024-01-05,BTC/USDT,44145.11,32376.637000000002,1.3634865783002725
2024-01-06,BTC/USDT,43968.32,32454.938650000004,1.3547497493112652
2024-01-07,BTC/USDT,43929.02,32524.614299999997,1.3506392295634386
2024-01-08,BTC/USDT,46951.04,32609.9449,1.4397767351026711
2024-01-09,BTC/USDT,46110.0,32687.052399999997,1.4106502916121004
2024-01-10,BTC/USDT,46653.99,32767.6852,1.4237804628323272
2024-01-11,BTC/USDT,46339.16,32847.0677,1.4107548479890644
2024-01-12,BTC/USDT,42782.73,32909.64139999999,1.3000059611710024
2024-01-13,BTC/USDT,42847.99,32970.41915,1.2995888770798352
2024-01-14,BTC/USDT,41732.35,33028.693849999996,1.2635180243435513
2024-01-15,BTC/USDT,42511.1,33089.012800000004,1.2847497221192405
2024-01-16,BTC/USDT,43137.95,33152.34255,1.3012036761788344
2024-01-17,BTC/USDT,42776.1,33213.29355,1.2879210529243041
2024-01-18,BTC/USDT,41327.5,33266.8459,1.2423029259891452
2024-01-19,BTC/USDT,41659.03,33319.36005,1.250295021797695
2024-01-20,BTC/USDT,41696.04,33374.0077,1.2493566962292035
2024-01-21,BTC/USDT,41580.33,33429.3853,1.2438257427365857
2024-01-22,BTC/USDT,39568.02,33477.748250000004,1.1819199936781886
2024-01-23,BTC/USDT,39897.6,33525.51275,1.1900668096418598
2024-01-24,BTC/USDT,40084.88,33574.514,1.193907974364126
2024-01-25,BTC/USDT,39961.09,33623.515900000006,1.1884863593340038
2024-01-26,BTC/USDT,41823.51,33680.575600000004,1.2417694547951845
2024-01-27,BTC/USDT,42120.63,33738.06825,1.2484600389057545
