data,moeda,close,media_movel_200
2024-01-09,ETH/USDT,2344.29,1883.7480500000001
2024-01-10,ETH/USDT,2584.38,1887.2951500000001
2024-01-11,ETH/USDT,2618.01,1890.8912
2024-01-12,ETH/USDT,2522.54,1894.20905
2024-01-13,ETH/USDT,2578.19,1897.6521000000002
2024-01-14,ETH/USDT,2472.87,1900.87635
2024-01-15,ETH/USDT,2511.78,1904.1752999999999
2024-01-16,ETH/USDT,2587.4,1907.44335
2024-01-17,ETH/USDT,2530.19,1910.4718
2024-01-18,ETH/USDT,2470.81,1913.13845
2024-01-19,ETH/USDT,2492.0,1915.82075
2024-01-20,ETH/USDT,2472.01,1918.4998
2024-01-21,ETH/USDT,2457.05,1921.2332500000002
2024-01-22,ETH/USDT,2314.2,1923.5734
2024-01-23,ETH/USDT,2242.6,1925.43185
2024-01-24,ETH/USDT,2235.02,1927.2807500000001
2024-01-25,ETH/USDT,2218.64,1929.0599500000003
2024-01-26,ETH/USDT,2267.68,1930.9963500000001
2024-01-27,ETH/USDT,2267.94,1932.9445500000002
2024-01-28,ETH/USDT,2256.9,1934.86995
2024-01-29,ETH/USDT,2317.6,1936.4355000000003
2024-01-30,ETH/USDT,2343.01,1938.4614000000001
2024-01-31,ETH/USDT,2283.14,1940.2200500000001
2024-02-01,ETH/USDT,2304.28,1942.1308999999999
2024-02-02,ETH/USDT,2309.06,1944.1202000000003
2024-02-03,ETH/USDT,2296.49,1946.1166
2024-02-04,ETH/USDT,2289.79,1948.1224
2024-02-05,ETH/USDT,2301.83,1950.1735999999999
2024-02-06,ETH/USDT,2372.64,1952.57815
2024-02-07,ETH/USDT,2425.1,1955.3710499999997
2024-02-08,ETH/USDT,2419.55,1958.02515
2024-02-09,ETH/USDT,2486.56,1961.2079499999998
2024-02-10,ETH/USDT,2500.24,1964.4208500000002
2024-02-11,ETH/USDT,2507.21,1967.5969
2024-02-12,ETH/USDT,2659.99,1971.59045
2024-02-13,ETH/USDT,2639.99,1975.41945
2024-02-14,ETH/USDT,2774.81,1979.8912000000003
2024-02-15,ETH/USDT,2822.59,1984.6951999999999
2024-02-16,ETH/USDT,2801.8,1989.4234999999999
2024-02-17,ETH/USDT,2785.93,1993.9858
2024-02-18,ETH/USDT,2881.2,1999.1922999999997
2024-02-19,ETH/USDT,2944.8,2004.7372499999997
2024-02-20,ETH/USDT,3014.81,2010.6601500000002
2024-02-21,ETH/USDT,2967.9,2016.31725
2024-02-22,ETH/USDT,2971.4,2022.02285
2024-02-23,ETH/USDT,2922.24,2027.48855
2024-02-24,ETH/USDT,2992.62,2033.1701500000001
2024-02-25,ETH/USDT,3112.59,2039.4563500000002
2024-02-26,ETH/USDT,3175.94,2046.0737
2024-02-27,ETH/USDT,3242.36,2053.0413
2024-02-28,ETH/USDT,3383.1,2060.70715
2024-02-29,ETH/USDT,3340.09,2068.20395
2024-03-01,ETH/USDT,3433.43,2076.1436000000003
2024-03-02,ETH/USDT,3421.4,2084.1056999999996
2024-03-03,ETH/USDT,3487.81,2092.5056999999997
2024-03-04,ETH/USDT,3627.76,2102.2370499999997
2024-03-05,ETH/USDT,3553.65,2111.6973500000004
2024-03-06,ETH/USDT,3818.59,2122.44195
2024-03-07,ETH/USDT,3868.76,2133.3595499999997
2024-03-08,ETH/USDT,3883.36,2144.4386
2024-03-09,ETH/USDT,3905.21,2155.7897
2024-03-10,ETH/USDT,3878.47,2166.784
2024-03-11,ETH/USDT,4064.8,2178.8022
2024-03-12,ETH/USDT,3979.96,2190.433
2024-03-13,ETH/USDT,4004.79,2202.22175
2024-03-14,ETH/USDT,3881.7,2213.3386
2024-03-15,ETH/USDT,3742.19,2223.78415
2024-03-16,ETH/USDT,3523.09,2232.7525
2024-03-17,ETH/USDT,3644.71,2242.4499
2024-03-18,ETH/USDT,3520.46,2251.8233999999998
2024-03-19,ETH/USDT,3158.64,2259.471
2024-03-20,ETH/USDT,3516.53,2268.8685
2024-03-21,ETH/USDT,3492.85,2278.15355
2024-03-22,ETH/USDT,3336.35,2286.6827500000004
2024-03-23,ETH/USDT,3329.53,2295.15815
2024-03-24,ETH/USDT,3454.98,2304.2673
2024-03-25,ETH/USDT,3590.42,2313.97885
2024-03-26,ETH/USDT,3587.33,2323.7333
2024-03-27,ETH/USDT,3501.19,2333.06155
2024-03-28,ETH/USDT,3560.49,2342.7769
2024-03-29,ETH/USDT,3509.74,2352.56635
2024-03-30,ETH/USDT,3505.64,2362.1297
2024-03-31,ETH/USDT,3645.29,2372.31805
2024-04-01,ETH/USDT,3503.8,2381.7047000000002
2024-04-02,ETH/USDT,3278.96,2389.89305
2024-04-03,ETH/USDT,3310.83,2398.2752
2024-04-04,ETH/USDT,3327.4,2406.7998000000002
2024-04-05,ETH/USDT,3317.85,2415.2057499999996
2024-04-06,ETH/USDT,3351.59,2423.7481
2024-04-07,ETH/USDT,3454.2,2432.9078
2024-04-08,ETH/USDT,3694.61,2443.46115
2024-04-09,ETH/USDT,3506.39,2453.0277
