data,moeda,close,media_movel_200
2023-10-31,SOL/USDT,38.4,21.75655
2023-11-01,SOL/USDT,41.15,21.84205
2023-11-02,SOL/USDT,40.23,21.916499999999996
2023-11-03,SOL/USDT,39.45,21.990850000000002
2023-11-04,SOL/USDT,42.41,22.0788
2023-11-05,SOL/USDT,41.15,22.17125
2023-11-06,SOL/USDT,42.16,22.27105
2023-11-07,SOL/USDT,42.93,22.379450000000002
2023-11-08,SOL/USDT,43.13,22.486150000000002
2023-11-09,SOL/USDT,45.29,22.60525
2023-11-10,SOL/USDT,56.67,22.7817
2023-11-11,SOL/USDT,56.34,22.95375
2023-11-12,SOL/USDT,56.28,23.12875
2023-11-13,SOL/USDT,51.6,23.275100000000002
2023-11-14,SOL/USDT,56.81,23.442449999999997
2023-11-15,SOL/USDT,65.43,23.653650000000003
2023-11-16,SOL/USDT,57.8,23.82895
2023-11-17,SOL/USDT,58.51,24.011699999999998
2023-11-18,SOL/USDT,58.56,24.19325
2023-11-19,SOL/USDT,61.1,24.38755
2023-11-20,SOL/USDT,56.57,24.561700000000002
2023-11-21,SOL/USDT,51.65,24.70585
2023-11-22,SOL/USDT,57.56,24.8841
2023-11-23,SOL/USDT,56.51,25.05835
2023-11-24,SOL/USDT,56.86,25.239549999999998
2023-11-25,SOL/USDT,58.82,25.4304
2023-11-26,SOL/USDT,57.57,25.613700000000005
2023-11-27,SOL/USDT,55.06,25.78815
2023-11-28,SOL/USDT,58.18,25.97455
2023-11-29,SOL/USDT,59.31,26.166899999999995
2023-11-30,SOL/USDT,59.3,26.35875
2023-12-01,SOL/USDT,59.75,26.55255
2023-12-02,SOL/USDT,63.66,26.7675
2023-12-03,SOL/USDT,62.98,26.9771
2023-12-04,SOL/USDT,61.64,27.1836
2023-12-05,SOL/USDT,61.03,27.386950000000002
2023-12-06,SOL/USDT,61.85,27.5948
2023-12-07,SOL/USDT,67.74,27.83545
2023-12-08,SOL/USDT,74.94,28.1125
2023-12-09,SOL/USDT,72.3,28.3739
2023-12-10,SOL/USDT,74.87,28.652150000000002
2023-12-11,SOL/USDT,70.25,28.90715
2023-12-12,SOL/USDT,68.6,29.1534
2023-12-13,SOL/USDT,70.62,29.40435
2023-12-14,SOL/USDT,75.68,29.6787
2023-12-15,SOL/USDT,72.51,29.9384
2023-12-16,SOL/USDT,73.72,30.200750000000003
2023-12-17,SOL/USDT,70.87,30.45105
2023-12-18,SOL/USDT,74.42,30.7207
2023-12-19,SOL/USDT,73.0,30.979400000000002
2023-12-20,SOL/USDT,82.21,31.2845
2023-12-21,SOL/USDT,93.84,31.6446
2023-12-22,SOL/USDT,97.9,32.034099999999995
2023-12-23,SOL/USDT,107.88,32.471599999999995
2023-12-24,SOL/USDT,112.45,32.94065
2023-12-25,SOL/USDT,120.91,33.45075
2023-12-26,SOL/USDT,112.49,33.9262
2023-12-27,SOL/USDT,106.91,34.3827
2023-12-28,SOL/USDT,101.8,34.813950000000006
2023-12-29,SOL/USDT,106.17,35.26885
2023-12-30,SOL/USDT,101.9,35.70315
2023-12-31,SOL/USDT,101.72,36.13935000000001
2024-01-01,SOL/USDT,109.91,36.615050000000004
2024-01-02,SOL/USDT,106.73,37.07214999999999
2024-01-03,SOL/USDT,98.52,37.48655
2024-01-04,SOL/USDT,104.91,37.93385
2024-01-05,SOL/USDT,99.94,38.353049999999996
2024-01-06,SOL/USDT,93.77,38.7387
2024-01-07,SOL/USDT,89.44,39.09975
2024-01-08,SOL/USDT,97.88,39.50605
2024-01-09,SOL/USDT,99.36,39.9172
2024-01-10,SOL/USDT,102.0,40.343999999999994
2024-01-11,SOL/USDT,99.9,40.7587
2024-01-12,SOL/USDT,92.12,41.137950000000004
2024-01-13,SOL/USDT,95.85,41.53405
2024-01-14,SOL/USDT,93.81,41.923249999999996
2024-01-15,SOL/USDT,94.36,42.3051
2024-01-16,SOL/USDT,97.61,42.69884999999999
2024-01-17,SOL/USDT,102.1,43.11585
2024-01-18,SOL/USDT,94.4,43.49059999999999
2024-01-19,SOL/USDT,93.62,43.8624
2024-01-20,SOL/USDT,92.88,44.23115
2024-01-21,SOL/USDT,91.09,44.5916
2024-01-22,SOL/USDT,83.84,44.912749999999996
2024-01-23,SOL/USDT,84.35,45.227
2024-01-24,SOL/USDT,88.77,45.561800000000005
2024-01-25,SOL/USDT,86.91,45.88975000000001
2024-01-26,SOL/USDT,92.28,46.24465
2024-01-27,SOL/USDT,94.28,46.6057
2024-01-28,SOL/USDT,95.98,46.975899999999996
2024-01-29,SOL/USDT,101.68,47.35425
2024-01-30,SOL/USDT,101.4,47.727900000000005
2024-01-31,SOL/USDT,96.96,48.0754
2024-02-01,SOL/USDT,97.81,48.42735
2024-02-02,SOL/USDT,100.58,48.79625
2024-02-03,SOL/USDT,97.96,49.15835
2024-02-04,SOL/USDT,95.49,49.50425
2024-02-05,SOL/USDT,95.66,49.85565
2024-02-06,SOL/USDT,96.88,50.21254999999999
2024-02-07,SOL/USDT,101.14,50.595650000000006
2024-02-08,SOL/USDT,102.76,50.98565000000001
2024-02-09,SOL/USDT,106.94,51.403499999999994
2024-02-10,SOL/USDT,109.01,51.8322
2024-02-11,SOL/USDT,107.46,52.24365000000001
2024-02-12,SOL/USDT,111.64,52.67635
2024-02-13,SOL/USDT,112.48,53.114650000000005
2024-02-14,SOL/USDT,116.97,53.57365000000001
2024-02-15,SOL/USDT,113.5,54.01990000000001
2024-02-16,SOL/USDT,110.33,54.4529
2024-02-17,SOL/USDT,108.92,54.877250000000004
2024-02-18,SOL/USDT,112.24,55.322700000000005
2024-02-19,SOL/USDT,111.53,55.7671
2024-02-20,SOL/USDT,108.31,56.19465
2024-02-21,SOL/USDT,105.03,56.60655
2024-02-22,SOL/USDT,101.76,56.99934999999999
2024-02-23,SOL/USDT,99.9,57.38325
2024-02-24,SOL/USDT,104.01,57.782199999999996
2024-02-25,SOL/USDT,103.47,58.17765
2024-02-26,SOL/USDT,109.9,58.60405
2024-02-27,SOL/USDT,108.36,59.022749999999995
2024-02-28,SOL/USDT,119.03,59.49335
2024-02-29,SOL/USDT,125.68,60.000600000000006
2024-03-01,SOL/USDT,129.43,60.52185
2024-03-02,SOL/USDT,130.02,61.05245000000001
2024-03-03,SOL/USDT,130.16,61.58915
2024-03-04,SOL/USDT,133.27,62.14719999999999
2024-03-05,SOL/USDT,125.31,62.667049999999996
2024-03-06,SOL/USDT,130.79,63.211499999999994
2024-03-07,SOL/USDT,143.82,63.821749999999994
2024-03-08,SOL/USDT,144.79,64.4397
2024-03-09,SOL/USDT,144.29,65.0582
2024-03-10,SOL/USDT,144.39,65.67145000000001
2024-03-11,SOL/USDT,148.83,66.31030000000001
2024-03-12,SOL/USDT,151.05,66.96345000000001
2024-03-13,SOL/USDT,163.9,67.6815
2024-03-14,SOL/USDT,176.65,68.4608
2024-03-15,SOL/USDT,183.95,69.27775
2024-03-16,SOL/USDT,182.05,70.07905000000001
